"","X","geoUID","r_external_5yr","r_inter_5yr","r_internal_5yr","r_intra_5yr","r_migrants_5yr","r_movers_5yr","r_nonMigrants_5yr","r_nonMovers_5yr"
"2",2,10010165,0.429,0,0.429,1.333,0.269,0.25,3.167,0.75
"3",3,10010166,0,0.5,1,0,0.333,0.24,1.6,0.76
"4",4,10010167,0,0,1,1,0.375,0.358,2.5,0.642
"5",5,10010168,0.167,0.545,0.917,0.455,0.308,0.361,1.8,0.63
"6",6,10010169,0,0.333,0.75,0.667,0.444,0.321,1.667,0.679
"7",7,10010170,0,0.588,1,0.471,0.567,0.349,1.2,0.64
"8",8,10010171,0.25,0.429,0.875,0.429,0.364,0.247,2.8,0.753
"9",9,10010172,0,0,0,0,0,0.5,5,0.5
"10",10,10010173,0.062,0.355,0.969,0.645,0.4,0.455,1.333,0.551
"11",11,10010174,0.211,0.875,0.842,0.125,0.422,0.251,1.471,0.754
"12",12,10010175,0.143,0.167,0.857,0.833,0.304,0.365,1.6,0.63
"13",13,10010176,0.222,1,0.667,0.333,0.346,0.317,2.571,0.683
"14",14,10010180,0.231,0.5,0.769,0.5,0.5,0.26,0.684,0.73
"15",15,10010181,0,0.5,1,0.625,0.4,0.267,3,0.733
"16",16,10010182,0,0.75,1.333,0,0.143,0.318,4.25,0.682
"17",17,10010187,0,0.4,1.25,0.6,0.133,0.217,2.273,0.775
"18",18,10010191,0,0.25,0.889,0.75,0.187,0.4,2.437,0.6
"19",19,10010192,0,0,0,0,0,0.152,2.5,0.833
"20",20,10010193,0,0.667,1,0.667,0.167,0.222,1.875,0.79
"21",21,10010194,0,0.333,1.2,0.667,0.294,0.354,1.375,0.646
"22",22,10010195,0.087,0.667,0.913,0.286,0.426,0.466,1.409,0.526
"23",23,10010196,0.556,0.667,0.333,0.667,0.375,0.25,2.333,0.76
"24",24,10010198,0,0.5,0.857,0.5,0.412,0.233,2,0.753
"25",25,10010199,0.818,1,0.182,1,0.733,0.349,0.714,0.628
"26",26,10010200,0.4,0.667,0.6,0.667,0.417,0.182,3.5,0.818
"27",27,10010201,0,0.625,1.143,0.375,0.25,0.315,1.909,0.685
"28",28,10010202,0.5,0.5,0.5,0.5,0.333,0.255,1.071,0.755
"29",29,10010203,0,1,1,0,0.25,0.127,1.75,0.841
"30",30,10010204,0.111,0.375,0.889,0.625,0.36,0.459,1.455,0.532
