,geoUID,r_external_5yr,r_inter_5yr,r_internal_5yr,r_intra_5yr,r_migrants_5yr,r_movers_5yr,r_nonMigrants_5yr,r_nonMovers_5yr
1.000,1001.000,0.123,0.330,0.877,0.670,0.492,0.326,1.429,0.674
2.000,10010165.000,0.429,0.000,0.429,1.333,0.269,0.250,3.167,0.750
3.000,10010166.000,0.000,0.500,1.000,0.000,0.333,0.240,1.600,0.760
4.000,10010167.000,0.000,0.000,1.000,1.000,0.375,0.358,2.500,0.642
5.000,10010168.000,0.167,0.545,0.917,0.455,0.308,0.361,1.800,0.630
6.000,10010169.000,0.000,0.333,0.750,0.667,0.444,0.321,1.667,0.679
7.000,10010170.000,0.000,0.588,1.000,0.471,0.567,0.349,1.200,0.640
8.000,10010171.000,0.250,0.429,0.875,0.429,0.364,0.247,2.800,0.753
9.000,10010172.000,0.000,0.000,0.000,0.000,0.000,0.500,5.000,0.500
10.000,10010173.000,0.062,0.355,0.969,0.645,0.400,0.455,1.333,0.551
11.000,10010174.000,0.211,0.875,0.842,0.125,0.422,0.251,1.471,0.754
12.000,10010175.000,0.143,0.167,0.857,0.833,0.304,0.365,1.600,0.630
13.000,10010176.000,0.222,1.000,0.667,0.333,0.346,0.317,2.571,0.683
14.000,10010180.000,0.231,0.500,0.769,0.500,0.500,0.260,0.684,0.730
15.000,10010181.000,0.000,0.500,1.000,0.625,0.400,0.267,3.000,0.733
16.000,10010182.000,0.000,0.750,1.333,0.000,0.143,0.318,4.250,0.682
17.000,10010187.000,0.000,0.400,1.250,0.600,0.133,0.217,2.273,0.775
18.000,10010191.000,0.000,0.250,0.889,0.750,0.187,0.400,2.437,0.600
19.000,10010192.000,0.000,0.000,0.000,0.000,0.000,0.152,2.500,0.833
20.000,10010193.000,0.000,0.667,1.000,0.667,0.167,0.222,1.875,0.790
21.000,10010194.000,0.000,0.333,1.200,0.667,0.294,0.354,1.375,0.646
22.000,10010195.000,0.087,0.667,0.913,0.286,0.426,0.466,1.409,0.526
23.000,10010196.000,0.556,0.667,0.333,0.667,0.375,0.250,2.333,0.760
24.000,10010198.000,0.000,0.500,0.857,0.500,0.412,0.233,2.000,0.753
25.000,10010199.000,0.818,1.000,0.182,1.000,0.733,0.349,0.714,0.628
26.000,10010200.000,0.400,0.667,0.600,0.667,0.417,0.182,3.500,0.818
27.000,10010201.000,0.000,0.625,1.143,0.375,0.250,0.315,1.909,0.685
28.000,10010202.000,0.500,0.500,0.500,0.500,0.333,0.255,1.071,0.755
29.000,10010203.000,0.000,1.000,1.000,0.000,0.250,0.127,1.750,0.841
30.000,10010204.000,0.111,0.375,0.889,0.625,0.360,0.459,1.455,0.532
31.000,10010206.000,0.154,0.273,0.846,0.682,0.351,0.510,1.621,0.490
32.000,10010207.000,0.069,0.222,0.931,0.778,0.309,0.372,1.275,0.632
33.000,10010208.000,0.055,0.358,0.964,0.642,0.399,0.478,1.339,0.522
34.000,10010209.000,0.167,0.500,0.833,0.500,0.429,0.283,2.000,0.717
35.000,10010210.000,0.000,0.286,1.000,0.857,0.333,0.239,2.143,0.750
36.000,10010211.000,0.000,0.692,1.000,0.231,0.228,0.396,1.630,0.597
37.000,10010212.000,0.222,0.643,0.778,0.429,0.429,0.452,2.300,0.538
38.000,10010213.000,0.273,0.500,0.727,0.500,0.275,0.308,1.611,0.685
39.000,10010214.000,0.586,0.500,0.414,0.583,0.630,0.648,0.895,0.366
40.000,10010215.000,0.000,0.286,1.167,0.571,0.231,0.371,1.727,0.614
41.000,10010216.000,0.375,0.400,0.625,0.600,0.308,0.473,1.889,0.527
42.000,10010217.000,0.000,0.750,1.000,0.250,0.471,0.333,1.125,0.667
43.000,10010218.000,0.400,0.800,0.500,0.400,0.312,0.471,2.333,0.544
44.000,10010219.000,0.000,0.600,1.000,0.400,0.125,0.328,1.667,0.680
45.000,10010220.000,0.000,0.000,0.750,0.667,0.222,0.281,3.000,0.719
46.000,10010221.000,0.250,1.000,0.750,0.333,0.258,0.307,2.556,0.693
47.000,10010222.000,0.077,0.625,0.923,0.333,0.531,0.454,0.815,0.546
48.000,10010223.000,0.437,0.222,0.562,0.778,0.308,0.491,2.056,0.519
49.000,10010224.000,0.000,0.273,1.000,0.636,0.306,0.387,1.333,0.613
50.000,10010225.000,0.000,0.667,1.000,0.667,0.231,0.289,2.000,0.689
51.000,10010226.000,0.000,0.429,0.875,0.571,0.211,0.388,3.200,0.602
52.000,10010227.000,0.000,0.700,1.000,0.200,0.286,0.449,1.000,0.551
53.000,10010228.000,0.000,0.714,1.000,0.286,0.200,0.402,2.455,0.598
54.000,10010229.000,0.321,0.722,0.643,0.278,0.609,0.535,0.950,0.453
55.000,10010230.000,0.353,0.727,0.647,0.273,0.309,0.539,1.480,0.461
56.000,10010231.000,0.450,0.833,0.600,0.000,0.339,0.573,1.345,0.427
57.000,10010232.000,0.577,0.700,0.385,0.400,0.565,0.523,0.690,0.466
58.000,10010233.000,0.824,0.750,0.235,0.000,0.515,0.440,1.000,0.560
59.000,10010234.000,0.481,0.533,0.556,0.400,0.540,0.532,0.917,0.468
60.000,10010235.000,0.154,0.455,0.846,0.545,0.500,0.456,1.444,0.561
61.000,10010236.000,0.478,0.727,0.478,0.364,0.489,0.505,1.091,0.484
62.000,10010237.000,0.706,0.500,0.294,0.500,0.576,0.670,0.641,0.330
63.000,10010238.000,0.571,0.182,0.524,0.727,0.583,0.434,1.167,0.566
64.000,10010239.000,0.467,0.562,0.533,0.437,0.545,0.524,1.091,0.476
65.000,10010240.000,0.638,0.524,0.362,0.524,0.637,0.655,0.791,0.338
66.000,10010241.000,0.519,0.154,0.481,0.923,0.500,0.593,1.000,0.407
67.000,10010242.000,0.200,0.588,0.850,0.412,0.290,0.543,1.581,0.457
68.000,10010243.000,0.154,0.341,0.846,0.659,0.531,0.645,1.154,0.368
69.000,10010244.000,0.393,0.167,0.643,0.778,0.400,0.538,1.200,0.469
70.000,10010245.000,0.154,0.455,0.846,0.591,0.510,0.580,1.368,0.432
71.000,10010246.000,0.333,0.200,0.667,0.800,0.517,0.345,0.824,0.655
72.000,10010247.000,0.200,0.167,0.800,0.833,0.682,0.361,0.700,0.639
73.000,10010248.000,0.250,0.333,0.750,0.556,0.375,0.593,1.667,0.389
74.000,10010249.000,0.447,0.333,0.553,0.619,0.679,0.560,1.118,0.430
75.000,10010250.000,0.462,0.667,0.538,0.381,0.619,0.583,0.658,0.417
76.000,10010251.000,0.538,0.636,0.423,0.455,0.634,0.461,0.667,0.539
77.000,10010252.000,0.611,0.571,0.389,0.429,0.500,0.391,1.200,0.598
78.000,10010253.000,0.529,0.500,0.588,0.500,0.515,0.429,0.667,0.558
79.000,10010254.000,0.294,0.462,0.765,0.462,0.472,0.324,1.133,0.685
80.000,10010255.000,0.615,0.400,0.385,0.600,0.317,0.427,1.333,0.573
81.000,10010256.000,0.286,0.500,0.571,0.750,0.280,0.352,1.538,0.648
82.000,10010257.000,0.000,0.533,1.000,0.333,0.469,0.364,1.417,0.625
83.000,10010258.000,0.105,0.437,0.842,0.687,0.452,0.404,1.437,0.596
84.000,10010259.000,0.167,0.400,0.833,0.600,0.364,0.330,1.615,0.680
85.000,10010260.000,0.143,0.769,0.929,0.154,0.424,0.351,1.250,0.638
86.000,10010261.000,0.429,0.500,0.571,0.500,0.467,0.278,1.308,0.722
87.000,10010262.000,0.611,0.600,0.417,0.400,0.621,0.611,0.595,0.389
88.000,10010263.000,0.187,0.231,0.812,0.769,0.471,0.304,1.214,0.696
89.000,10010264.000,0.211,0.214,0.737,0.857,0.452,0.404,1.278,0.596
90.000,10010265.000,0.250,0.167,0.750,0.833,0.615,0.257,3.333,0.733
91.000,10010266.000,0.133,0.500,0.933,0.571,0.341,0.344,1.933,0.648
92.000,10010267.000,0.000,0.333,1.000,0.667,0.429,0.110,1.750,0.890
93.000,10010268.000,0.000,0.000,1.000,1.000,0.250,0.154,2.000,0.827
94.000,10010269.000,0.167,0.300,0.833,0.700,0.245,0.261,2.111,0.734
95.000,10010270.000,0.263,0.571,0.737,0.429,0.463,0.241,1.750,0.759
96.000,10010271.000,0.667,0.000,0.000,100000.000,0.429,0.076,1.250,0.924
97.000,10010272.000,0.000,1.000,0.600,0.000,0.208,0.195,2.857,0.797
98.000,10010273.000,0.222,0.607,0.778,0.393,0.375,0.357,3.933,0.643
99.000,10010276.000,0.429,0.000,0.429,1.333,0.538,0.283,2.000,0.717
100.000,10010277.000,0.000,0.400,1.000,0.600,0.400,0.333,1.333,0.667
101.000,10010278.000,0.000,0.800,1.000,0.200,0.500,0.488,1.667,0.537
102.000,10010279.000,0.417,0.500,0.667,0.500,0.324,0.245,1.389,0.755
103.000,10010280.000,0.000,1.000,1.000,0.000,0.200,0.185,3.000,0.815
